,index,name,latitude,longitude,address,category,rating,category_count
201,215,Tiffany & Co.,45.470102,9.196734,Via della Spiga 19,Jewelry Store,8.5,1
202,216,Ca'puccino,45.462208,9.190562,Piazza Diaz 5,"Bistro, Café",7.7,2
203,217,La Corte di San Maurilio Café,45.461819,9.184314,Via San Maurilio 8,"Café, Restaurant",7.7,2
204,218,Miu Miu Milano,45.469446,9.197318,Via Sant'Andrea 21,"Clothing Store, Shoe Store, Women's Store",8.4,3
205,219,Max & Co,45.465356,9.194734,Corso Vittorio Emanuele II,"Clothing Store, Men's Store, Women's Store",7.9,3
206,220,Gran Caffè Cimmino,45.462957,9.194316,Via Larga 2,"Bar, Café, Pastry Shop",7.9,3
207,221,Foot Locker Italy SRL,45.465554,9.195637,Corso Vittorio Emanuele II 24,Shoe Store,7.9,1
208,222,Bar Madonnina,45.464965,9.19353,Corso Vittorio Emanuele II 4,"Café, Bar",7.6,2
209,223,Motta Caffè Bar Milano 1928,45.464752,9.190223,Piazza Duomo,Café,7.4,1
210,224,House of EL&N,45.465479,9.194304,Piazza del Liberty 4,Café,7.7,1
211,226,D&G,45.46771435899469,9.19813424348831,Corso di Porta Venezia 7,Men's Store,7.9,1
212,227,Timberland Italy SRL,45.467117,9.19592,Corso Giacomo Matteotti 7,"Clothing Store, Shoe Store",7.5,2
213,228,Balenciaga,45.469017,9.194036,Via Montenapoleone 23,"Clothing Store, Fashion Accessories Store, Women's Store",7.6,3
214,229,Caffe dell'Opera,45.468425,9.191327,Via Manzoni 12,"Café, Restaurant",7.2,2
215,230,Passerini,45.463989,9.186887,Via Victor Hugo 4,"Café, Coffee Shop, Restaurant",6.6,3
216,231,Caffetteria Dante,45.465848,9.185145,Via Dante,Café,6.3,1
217,234,Bershka,45.465066,9.195138,Corso Vittorio Emanuele II 22,Clothing Store,6.5,1
218,235,Bar Mercurio,45.462956,9.188671,Via Dogana,"Café, Italian Restaurant",6.2,2
219,236,Gran Cafè Visconteo,45.464516,9.188353,Piazza Duomo 17,"Bar, Café, Italian Restaurant",5.9,3
220,237,Mil-san babila,45.46711,9.197541,Piazza san babila 5,"Café, Restaurant",6.5,2
221,239,Maria Marinoni,45.468716,9.176301,Piazzale Luigi Cadorna 10,"Bakery, Café, Restaurant",6.4,3
222,240,Orefici 11,45.46457665882707,9.186793863773346,Via Orefici 11,Clothing Store,,1
223,241,TOP Undici Bistrot,45.466998,9.196952,Corso Giacomo Matteotti 11,"Wine Bar, Café, Restaurant",6.3,3
224,248,Good Morning Caffè Milano,45.45566,9.187522,Corso Italia,"Café, Restaurant",7.7,2
225,265,Borsalino,45.465661,9.189979,Galleria Vittorio Emanuele II 92,Fashion Accessories Store,7.5,1
226,268,Henry's Cafè,45.452061,9.182107,Viale Col di Lana 4,"Pub, Café, Restaurant",6.5,3
227,273,Caffè Mazzini Bottiglieria,45.46232,9.188328,Via Giuseppe Mazzini 12,"Café, Restaurant",,2
228,274,Aw Lab,45.462684,9.186435,Via Torino 22,"Clothing Store, Men's Store, Shoe Store",,3
229,275,Vestire Uomo,45.455344,9.183718,Via Molino delle Armi,Clothing Store,,1
230,276,Lucan's,45.460479,9.182386,Via Torino 71,"Advertising Agency, Clothing Store, Shoe Store",,3
231,277,Stream Italy,45.463059,9.189168,Via Cappellari 3,Clothing Store,,1
232,278,Max Mara,45.463902,9.187683,Via V. Hugo Angolo Via Orefici 1,Women's Store,,1
233,280,Nicole Spose,45.452254,9.189163,Viale Beatrice d'Este 7,Bridal Store,,1
234,282,Marella,45.465176,9.194015,Corso Vittorio Emanuele II Ang. Piazza del Liberty 2,Clothing Store,,1
235,284,Bar del Verzee,45.46249,9.198535,Largo Augusto,Café,,1
236,285,Conti Gabriele,45.461131,9.185133,Via dei Piatti 1,Jewelry Store,,1
237,286,Tom Ford Retail Italia,45.462077,9.186968,Via degli Arcimboldi 2,"Men's Store, Women's Store",,2
238,287,Haapiti SRL,45.462484,9.193399,Via Larga 6,Children's Clothing Store,,1
239,288,Bevist SRL,45.466674,9.1863,Via Broletto 18,"Café, Restaurant",,2
240,289,Pull & Bear Italia SRL,45.464569,9.195658,Largo Corsia dei Servi 3,Clothing Store,,1
241,290,D.o.s. - SRL,45.465116,9.195086,Galleria del Corso 2,Clothing Store,,1
242,291,Porselli - Calzature da Ballo,45.467064,9.188615,Piazza Paolo Ferrari 6,Shoe Store,,1
243,292,Dolce & Gabbana,45.467653,9.200301,Via Santa Cecilia 7,Clothing Store,8.9,1
244,296,Longchamp,45.468694,9.198608,Via della Spiga 6,Fashion Accessories Store,8.6,1
245,300,LùBar,45.47262371923884,9.200097620487213,Via Palestro 16,"Bar, Café, Italian Restaurant",8.5,3
246,306,Diesel Store,45.466573,9.197093,Piazza San Babila 1,Clothing Store,7.9,1
247,308,Etro SPA,45.45953,9.207575,Via Spartaco 3,Clothing Store,8.1,1
248,315,Gran Café Victory,45.468416,9.21493,Corso Indipendenza,Café,7.4,1
249,316,Grand Café e Tre Marie,45.47163435767171,9.20641154050827,Viale Piave 23,"Café, Coffee Shop, Restaurant",7.1,3
250,317,Rotani Caffè,45.475724,9.205482,Via Panfilo Castaldi 39,"Hookah Bar, Café, Restaurant",7.5,3
251,318,Bar Picchio,45.473568,9.209247,Via Melzo 11,"Cocktail Bar, Café",7.3,2
252,319,Swiss Corner,45.472679,9.19616,Piazza Cavour ang. Via Palestro,"Cocktail Bar, Café, Restaurant",7.3,3
253,320,Caffe della Terra,45.47035,9.200407,Corso Venezia 37,"Café, Coffee Shop, Restaurant",6.9,3
254,322,Rainbow Café,45.476081,9.20521,Via Tadino 6,"Bar, Café, Coffee Shop",6.7,3
255,324,San Pietro Cafè,45.475605,9.206514,Via Spallanzani 5,"Café, Restaurant",6.6,2
256,326,Tipo 00,45.467548,9.206561,Piazza del Tricolore 4,"Bakery, Café, Italian Restaurant",,3
257,328,Tommy Hilfiger,45.473866,9.206112,Piazza Guglielmo Oberdan 2,Clothing Store,6.1,1
258,329,Caffé Rivoli,45.466683,9.198793,Piazzetta Umberto Giordano 2,"Bar, Café, Restaurant",5.9,3
259,330,D Magazine Outlet,45.471542,9.194624,Via Manzoni 44,Fashion Retail,6.2,1
260,331,Alchimie,45.466893,9.200388,Corso Monforte 18,"Bar, Café, Restaurant",,3
261,332,Gioielleria Liviani,45.469082,9.199211,Corso Venezia 23,Jewelry Store,,1
262,333,Dodo Boutique,45.467935,9.198695,Corso Venezia 8,Jewelry Store,,1
263,334,Alberto Guardiani,45.467633,9.198406,Corso Venezia 6,Shoe Store,,1
264,335,Caffè Victory,45.462457,9.205526,Corso di Porta Vittoria 51,"Café, Restaurant",,2
